ds,y
1996-04,95000.0
1996-05,95200.0
1996-06,95400.0
1996-07,95700.0
1996-08,95900.0
1996-09,96100.0
1996-10,96200.0
1996-11,96100.0
1996-12,96000.0
1997-01,95800.0
1997-02,95500.0
1997-03,95300.0
1997-04,95100.0
1997-05,95100.0
1997-06,95200.0
1997-07,95400.0
1997-08,95600.0
1997-09,95800.0
1997-10,96000.0
1997-11,96200.0
1997-12,96400.0
1998-01,96500.0
1998-02,96600.0
1998-03,96600.0
1998-04,96700.0
1998-05,96900.0
1998-06,97000.0
1998-07,97200.0
1998-08,97500.0
1998-09,97900.0
1998-10,98500.0
1998-11,99400.0
1998-12,100500.0
1999-01,101800.0
1999-02,103100.0
1999-03,104100.0
1999-04,104800.0
1999-05,105100.0
1999-06,105200.0
1999-07,105200.0
1999-08,105000.0
1999-09,104800.0
1999-10,104700.0
1999-11,104700.0
1999-12,104800.0
2000-01,105000.0
2000-02,105100.0
2000-03,105100.0
2000-04,105200.0
2000-05,105200.0
2000-06,105300.0
2000-07,105500.0
2000-08,105600.0
2000-09,105700.0
2000-10,105800.0
2000-11,106000.0
2000-12,106000.0
2001-01,106000.0
2001-02,106000.0
2001-03,106100.0
2001-04,106200.0
2001-05,106500.0
2001-06,106800.0
2001-07,107300.0
2001-08,107700.0
2001-09,108100.0
2001-10,108500.0
2001-11,108900.0
2001-12,109300.0
2002-01,109600.0
2002-02,109900.0
2002-03,110400.0
2002-04,110900.0
2002-05,111500.0
2002-06,112000.0
2002-07,112600.0
2002-08,113100.0
2002-09,113500.0
2002-10,113900.0
2002-11,114200.0
2002-12,114400.0
2003-01,114700.0
2003-02,114900.0
2003-03,115200.0
2003-04,115500.0
2003-05,115800.0
2003-06,116100.0
2003-07,116500.0
2003-08,116900.0
2003-09,117300.0
2003-10,117600.0
2003-11,117900.0
2003-12,118500.0
2004-01,119400.0
2004-02,120400.0
2004-03,121200.0
2004-04,121900.0
2004-05,122400.0
2004-06,122700.0
2004-07,123000.0
2004-08,123400.0
2004-09,123800.0
2004-10,124200.0
2004-11,124700.0
2004-12,125300.0
2005-01,125800.0
2005-02,126200.0
2005-03,126500.0
2005-04,126700.0
2005-05,126800.0
2005-06,126700.0
2005-07,126500.0
2005-08,126300.0
2005-09,126100.0
2005-10,126000.0
2005-11,126100.0
2005-12,126200.0
2006-01,126200.0
2006-02,126400.0
2006-03,126600.0
2006-04,126800.0
2006-05,127100.0
2006-06,127400.0
2006-07,127700.0
2006-08,127900.0
2006-09,128100.0
2006-10,128200.0
2006-11,128400.0
2006-12,128500.0
2007-01,128600.0
2007-02,128700.0
2007-03,129000.0
2007-04,129300.0
2007-05,129700.0
2007-06,130300.0
2007-07,130800.0
2007-08,131400.0
2007-09,131800.0
2007-10,132100.0
2007-11,132300.0
2007-12,132100.0
2008-01,131500.0
2008-02,130700.0
2008-03,129600.0
2008-04,128600.0
2008-05,127600.0
2008-06,126700.0
2008-07,126000.0
2008-08,125500.0
2008-09,125100.0
2008-10,124800.0
2008-11,124500.0
2008-12,124300.0
2009-01,124100.0
2009-02,123900.0
2009-03,123600.0
2009-04,123200.0
2009-05,122700.0
2009-06,122300.0
2009-07,122100.0
2009-08,122200.0
2009-09,122300.0
2009-10,122400.0
2009-11,122500.0
2009-12,122600.0
2010-01,122700.0
2010-02,122800.0
2010-03,122900.0
2010-04,122900.0
2010-05,122700.0
2010-06,122500.0
2010-07,122100.0
2010-08,121700.0
2010-09,121400.0
2010-10,120800.0
2010-11,119900.0
2010-12,119200.0
2011-01,118800.0
2011-02,118300.0
2011-03,118200.0
2011-04,118100.0
2011-05,118000.0
2011-06,117700.0
2011-07,117100.0
2011-08,116100.0
2011-09,115400.0
2011-10,115000.0
2011-11,114800.0
2011-12,114100.0
2012-01,113200.0
2012-02,112800.0
2012-03,112600.0
2012-04,112000.0
2012-05,111800.0
2012-06,111700.0
2012-07,111700.0
2012-08,111800.0
2012-09,111800.0
2012-10,111600.0
2012-11,111700.0
2012-12,111900.0
2013-01,112400.0
2013-02,113000.0
2013-03,113500.0
2013-04,114100.0
2013-05,115100.0
2013-06,116500.0
2013-07,118300.0
2013-08,120000.0
2013-09,121200.0
2013-10,122000.0
2013-11,122700.0
2013-12,123500.0
2014-01,124200.0
2014-02,124900.0
2014-03,125900.0
2014-04,127100.0
2014-05,128200.0
2014-06,129400.0
2014-07,130300.0
2014-08,130900.0
2014-09,131900.0
2014-10,133300.0
2014-11,134800.0
2014-12,136200.0
2015-01,137700.0
2015-02,138900.0
2015-03,139900.0
2015-04,141000.0
2015-05,142100.0
2015-06,142900.0
2015-07,143900.0
2015-08,145200.0
2015-09,146200.0
2015-10,146900.0
2015-11,147600.0
2015-12,148500.0
2016-01,149600.0
2016-02,150600.0
2016-03,151200.0
2016-04,151800.0
2016-05,153000.0
2016-06,154400.0
2016-07,155200.0
2016-08,155500.0
2016-09,155400.0
2016-10,155000.0
2016-11,155100.0
2016-12,155900.0
2017-01,156500.0
2017-02,156900.0
2017-03,157300.0
2017-04,157600.0
2017-05,157700.0
2017-06,157700.0
2017-07,157900.0
2017-08,158700.0
2017-09,160200.0
2017-10,161900.0
2017-11,162800.0
2017-12,162800.0
2018-01,162800.0
2018-02,162900.0
2018-03,163500.0
2018-04,164300.0
