ds,y
1996-04,101600.0
1996-05,101300.0
1996-06,100800.0
1996-07,100300.0
1996-08,99800.0
1996-09,99200.0
1996-10,98600.0
1996-11,98100.0
1996-12,97600.0
1997-01,97100.0
1997-02,96700.0
1997-03,96300.0
1997-04,96000.0
1997-05,95900.0
1997-06,95900.0
1997-07,95900.0
1997-08,96000.0
1997-09,96100.0
1997-10,96200.0
1997-11,96300.0
1997-12,96400.0
1998-01,96500.0
1998-02,96500.0
1998-03,96500.0
1998-04,96500.0
1998-05,96700.0
1998-06,96800.0
1998-07,97100.0
1998-08,97400.0
1998-09,98000.0
1998-10,98600.0
1998-11,99400.0
1998-12,100500.0
1999-01,101500.0
1999-02,102400.0
1999-03,103300.0
1999-04,104000.0
1999-05,104700.0
1999-06,105100.0
1999-07,105500.0
1999-08,105700.0
1999-09,106000.0
1999-10,106200.0
1999-11,106300.0
1999-12,106500.0
2000-01,106700.0
2000-02,106800.0
2000-03,106900.0
2000-04,107100.0
2000-05,107400.0
2000-06,107800.0
2000-07,108300.0
2000-08,108800.0
2000-09,109300.0
2000-10,109800.0
2000-11,110300.0
2000-12,110700.0
2001-01,111000.0
2001-02,111200.0
2001-03,111400.0
2001-04,111600.0
2001-05,111800.0
2001-06,112000.0
2001-07,112200.0
2001-08,112500.0
2001-09,112700.0
2001-10,113000.0
2001-11,113200.0
2001-12,113400.0
2002-01,113600.0
2002-02,113800.0
2002-03,114100.0
2002-04,114500.0
2002-05,115000.0
2002-06,115400.0
2002-07,115900.0
2002-08,116400.0
2002-09,116900.0
2002-10,117400.0
2002-11,117900.0
2002-12,118300.0
2003-01,118700.0
2003-02,119200.0
2003-03,119700.0
2003-04,120100.0
2003-05,120500.0
2003-06,120900.0
2003-07,121300.0
2003-08,121700.0
2003-09,122100.0
2003-10,122500.0
2003-11,123200.0
2003-12,124100.0
2004-01,125400.0
2004-02,126900.0
2004-03,128300.0
2004-04,129400.0
2004-05,130200.0
2004-06,130900.0
2004-07,131500.0
2004-08,132300.0
2004-09,132900.0
2004-10,133600.0
2004-11,134100.0
2004-12,134700.0
2005-01,135200.0
2005-02,135600.0
2005-03,136000.0
2005-04,136400.0
2005-05,136900.0
2005-06,137400.0
2005-07,137600.0
2005-08,137600.0
2005-09,137200.0
2005-10,136800.0
2005-11,136300.0
2005-12,135800.0
2006-01,135500.0
2006-02,135200.0
2006-03,135000.0
2006-04,134900.0
2006-05,134700.0
2006-06,134600.0
2006-07,134600.0
2006-08,134800.0
2006-09,135300.0
2006-10,136000.0
2006-11,136700.0
2006-12,137300.0
2007-01,137600.0
2007-02,137600.0
2007-03,137700.0
2007-04,137800.0
2007-05,138100.0
2007-06,138600.0
2007-07,139100.0
2007-08,139500.0
2007-09,139800.0
2007-10,139900.0
2007-11,139800.0
2007-12,139400.0
2008-01,138800.0
2008-02,138000.0
2008-03,137000.0
2008-04,136200.0
2008-05,135300.0
2008-06,134400.0
2008-07,133600.0
2008-08,132800.0
2008-09,132100.0
2008-10,131400.0
2008-11,130700.0
2008-12,130000.0
2009-01,129500.0
2009-02,128800.0
2009-03,128100.0
2009-04,127300.0
2009-05,126500.0
2009-06,125700.0
2009-07,125100.0
2009-08,124800.0
2009-09,124700.0
2009-10,124700.0
2009-11,124800.0
2009-12,124900.0
2010-01,125100.0
2010-02,125200.0
2010-03,125200.0
2010-04,125100.0
2010-05,125100.0
2010-06,124800.0
2010-07,124100.0
2010-08,123300.0
2010-09,122700.0
2010-10,121700.0
2010-11,120700.0
2010-12,119700.0
2011-01,118900.0
2011-02,118200.0
2011-03,117900.0
2011-04,117500.0
2011-05,117000.0
2011-06,116200.0
2011-07,115600.0
2011-08,115100.0
2011-09,114700.0
2011-10,114400.0
2011-11,114300.0
2011-12,113900.0
2012-01,113500.0
2012-02,114000.0
2012-03,114600.0
2012-04,114700.0
2012-05,114600.0
2012-06,115200.0
2012-07,115900.0
2012-08,116000.0
2012-09,115800.0
2012-10,115800.0
2012-11,116100.0
2012-12,116500.0
2013-01,116700.0
2013-02,116600.0
2013-03,116100.0
2013-04,115900.0
2013-05,116300.0
2013-06,117200.0
2013-07,117900.0
2013-08,118700.0
2013-09,119700.0
2013-10,120200.0
2013-11,120200.0
2013-12,120700.0
2014-01,121600.0
2014-02,122100.0
2014-03,122900.0
2014-04,123900.0
2014-05,124900.0
2014-06,126200.0
2014-07,127800.0
2014-08,129000.0
2014-09,129900.0
2014-10,130800.0
2014-11,132000.0
2014-12,133000.0
2015-01,134000.0
2015-02,134800.0
2015-03,135800.0
2015-04,137200.0
2015-05,138400.0
2015-06,139100.0
2015-07,139800.0
2015-08,140500.0
2015-09,140700.0
2015-10,140900.0
2015-11,141500.0
2015-12,142600.0
2016-01,143900.0
2016-02,145100.0
2016-03,145900.0
2016-04,146600.0
2016-05,147800.0
2016-06,149100.0
2016-07,150100.0
2016-08,151300.0
2016-09,153100.0
2016-10,155600.0
2016-11,157700.0
2016-12,158700.0
2017-01,159100.0
2017-02,160100.0
2017-03,161500.0
2017-04,163100.0
2017-05,164700.0
2017-06,165400.0
2017-07,165800.0
2017-08,166600.0
2017-09,167600.0
2017-10,168400.0
2017-11,169000.0
2017-12,169800.0
2018-01,170800.0
2018-02,171800.0
2018-03,172500.0
2018-04,172900.0
